id,code,name,distrito_id:id
dgi_corr_01_01_01,1-1-1,Bocas del Toro (Cabecera),dgi_dist_01_01
dgi_corr_01_01_02,1-1-2,Bastimentos,dgi_dist_01_01
dgi_corr_01_01_03,1-1-3,Cauchero,dgi_dist_01_01
dgi_corr_01_01_04,1-1-4,Punta Laurel,dgi_dist_01_01
dgi_corr_01_01_05,1-1-5,Tierra Oscura,dgi_dist_01_01
dgi_corr_01_02_01,1-2-1,Changuinola (Cabecera),dgi_dist_01_02
dgi_corr_01_02_02,1-2-2,Almirante,dgi_dist_01_02
dgi_corr_01_02_03,1-2-3,Guabito,dgi_dist_01_02
dgi_corr_01_02_04,1-2-4,Teribe,dgi_dist_01_02
dgi_corr_01_02_05,1-2-5,Valle del Risco,dgi_dist_01_02
dgi_corr_01_02_06,1-2-6,El Empalme,dgi_dist_01_02
dgi_corr_01_02_07,1-2-7,Las Tablas,dgi_dist_01_02
dgi_corr_01_03_01,1-3-1,Chiriqui Grande (Cabecera),dgi_dist_01_03
dgi_corr_01_03_02,1-3-2,Miramar,dgi_dist_01_03
dgi_corr_01_03_03,1-3-3,Punta Peña,dgi_dist_01_03
dgi_corr_01_03_04,1-3-4,Punta Robalo,dgi_dist_01_03
dgi_corr_01_03_05,1-3-5,Rambala,dgi_dist_01_03
dgi_corr_02_01_01,2-1-1,Aguadulce (Cabecera),dgi_dist_02_01
dgi_corr_02_01_02,2-1-2,El Cristo,dgi_dist_02_01
dgi_corr_02_01_03,2-1-3,El Roble,dgi_dist_02_01
dgi_corr_02_01_04,2-1-4,Pocri,dgi_dist_02_01
dgi_corr_02_01_05,2-1-5,Barrios Unidos,dgi_dist_02_01
dgi_corr_02_02_01,2-2-1,Anton (Cabecera),dgi_dist_02_02
dgi_corr_02_02_02,2-2-2,Cabuya,dgi_dist_02_02
dgi_corr_02_02_03,2-2-3,El Chiru,dgi_dist_02_02
dgi_corr_02_02_04,2-2-4,El Retiro,dgi_dist_02_02
dgi_corr_02_02_05,2-2-5,El Valle,dgi_dist_02_02
dgi_corr_02_02_06,2-2-6,Juan Diaz,dgi_dist_02_02
dgi_corr_02_02_07,2-2-7,Rio Hato,dgi_dist_02_02
dgi_corr_02_02_08,2-2-8,San Juan de Dios,dgi_dist_02_02
dgi_corr_02_02_09,2-2-9,Santa Rita,dgi_dist_02_02
dgi_corr_02_02_10,2-2-10,Caballero,dgi_dist_02_02
dgi_corr_02_03_01,2-3-1,La Pintada (Cabecera),dgi_dist_02_03
dgi_corr_02_03_02,2-3-2,El Harino,dgi_dist_02_03
dgi_corr_02_03_03,2-3-3,El Potrero,dgi_dist_02_03
dgi_corr_02_03_04,2-3-4,Llano Grande,dgi_dist_02_03
dgi_corr_02_03_05,2-3-5,Piedras Gordas,dgi_dist_02_03
dgi_corr_02_03_06,2-3-6,Las Lomas,dgi_dist_02_03
dgi_corr_02_04_01,2-4-1,Nata (Cabecera),dgi_dist_02_04
dgi_corr_02_04_02,2-4-2,Capellania,dgi_dist_02_04
dgi_corr_02_04_03,2-4-3,El Caño,dgi_dist_02_04
dgi_corr_02_04_04,2-4-4,Guzman,dgi_dist_02_04
dgi_corr_02_04_05,2-4-5,Las Huacas,dgi_dist_02_04
dgi_corr_02_04_06,2-4-6,Toza,dgi_dist_02_04
dgi_corr_02_05_01,2-5-1,Ola (Cabecera),dgi_dist_02_05
dgi_corr_02_05_02,2-5-2,El Cope,dgi_dist_02_05
dgi_corr_02_05_03,2-5-3,El Palmar,dgi_dist_02_05
dgi_corr_02_05_04,2-5-4,El Picacho,dgi_dist_02_05
dgi_corr_02_05_05,2-5-5,La Pava,dgi_dist_02_05
dgi_corr_02_06_01,2-6-1,Penonome (Cabecera),dgi_dist_02_06
dgi_corr_02_06_02,2-6-2,Cañaveral,dgi_dist_02_06
dgi_corr_02_06_03,2-6-3,Cocle,dgi_dist_02_06
dgi_corr_02_06_04,2-6-4,Chiguiri Arriba,dgi_dist_02_06
dgi_corr_02_06_05,2-6-5,El Coco,dgi_dist_02_06
dgi_corr_02_06_06,2-6-6,Pajonal,dgi_dist_02_06
dgi_corr_02_06_07,2-6-7,Rio Grande,dgi_dist_02_06
dgi_corr_02_06_08,2-6-8,Rio Indio,dgi_dist_02_06
dgi_corr_02_06_09,2-6-9,Toabre,dgi_dist_02_06
dgi_corr_02_06_10,2-6-10,Tulu,dgi_dist_02_06
dgi_corr_03_01_01,3-1-1,Barrio Norte,dgi_dist_03_01
dgi_corr_03_01_02,3-1-2,Barrio Sur,dgi_dist_03_01
dgi_corr_03_01_03,3-1-3,Buena Vista,dgi_dist_03_01
dgi_corr_03_01_04,3-1-4,Cativa,dgi_dist_03_01
dgi_corr_03_01_05,3-1-5,Ciricito,dgi_dist_03_01
dgi_corr_03_01_06,3-1-6,Cristobal,dgi_dist_03_01
dgi_corr_03_01_07,3-1-7,Escobal,dgi_dist_03_01
dgi_corr_03_01_08,3-1-8,Limon,dgi_dist_03_01
dgi_corr_03_01_09,3-1-9,Nueva Providencia,dgi_dist_03_01
dgi_corr_03_01_10,3-1-10,Puerto Pilon,dgi_dist_03_01
dgi_corr_03_01_11,3-1-11,Sabanitas,dgi_dist_03_01
dgi_corr_03_01_12,3-1-12,Salamanca,dgi_dist_03_01
dgi_corr_03_01_13,3-1-13,San Juan,dgi_dist_03_01
dgi_corr_03_01_14,3-1-14,Santa Rosa,dgi_dist_03_01
dgi_corr_03_01_15,3-1-15,Cristobal Este,dgi_dist_03_01
dgi_corr_03_02_01,3-2-1,Nuevo Chagres (Cabecera),dgi_dist_03_02
dgi_corr_03_02_02,3-2-2,Achiote,dgi_dist_03_02
dgi_corr_03_02_03,3-2-3,El Guabo,dgi_dist_03_02
dgi_corr_03_02_04,3-2-4,La Encantada,dgi_dist_03_02
dgi_corr_03_02_05,3-2-5,Palmas Bellas,dgi_dist_03_02
dgi_corr_03_02_06,3-2-6,Piña,dgi_dist_03_02
dgi_corr_03_02_07,3-2-7,Salud,dgi_dist_03_02
dgi_corr_03_03_01,3-3-1,Miguel de la Borda (Cabecera),dgi_dist_03_03
dgi_corr_03_03_02,3-3-2,Cocle del Norte,dgi_dist_03_03
dgi_corr_03_03_03,3-3-3,El Guasimo,dgi_dist_03_03
dgi_corr_03_03_04,3-3-4,Gobea,dgi_dist_03_03
dgi_corr_03_03_05,3-3-5,Rio Indio,dgi_dist_03_03
dgi_corr_03_03_06,3-3-6,San Jose del General,dgi_dist_03_03
dgi_corr_03_04_01,3-4-1,Portobelo (Cabecera),dgi_dist_03_04
dgi_corr_03_04_02,3-4-2,Cacique,dgi_dist_03_04
dgi_corr_03_04_03,3-4-3,Garrote,dgi_dist_03_04
dgi_corr_03_04_04,3-4-4,Isla Grande,dgi_dist_03_04
dgi_corr_03_04_05,3-4-5,Maria Chiquita,dgi_dist_03_04
dgi_corr_03_05_01,3-5-1,Palenque (Cabecera),dgi_dist_03_05
dgi_corr_03_05_02,3-5-2,Cuango,dgi_dist_03_05
dgi_corr_03_05_03,3-5-3,Miramar,dgi_dist_03_05
