id,code,name,segment_id/id
facturacion_electronica.cpbs.fam_1010,1010,Animales vivos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1011,1011,Productos para animales domesticos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1012,1012,Comida de animales,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1013,1013,Recipientes y habitat para animales,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1014,1014,Productos de talabarteria y arreo,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1015,1015,"Semillas, bulbos, plantulas y esquejes",facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1016,1016,Productos de floricultura y silvicultura,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1017,1017,Fertilizantes y nutrientes para plantas y herbicidas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1019,1019,Productos para el control de plagas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1020,1020,Rosales vivos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1021,1021,Plantas vivas de especies o variedades de flores altas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1022,1022,Plantas vivas de especies o variedades de flores bajas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1023,1023,Crisantemos vivos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1024,1024,Claveles vivos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1025,1025,Orquideas vivas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1030,1030,Rosas frescas cortadas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1031,1031,Bouquets cortados frescos de especies o variedades de flores altas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1032,1032,Bouquets cortados frescos de especies o variedades de flores,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1033,1033,Crisantemos cortados frescos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1034,1034,Bouquets florales cortados frescos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1035,1035,Claveles cortados frescos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1036,1036,Orquideas cortadas frescas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1040,1040,Rosas cortadas secas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1041,1041,Bouquets cortados secos de especies o variedades de flores altas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1042,1042,Bouquets cortados secos de especies o variedades de flores bajas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1043,1043,Crisantemos cortados secos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1044,1044,Claveles cortados secos,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1045,1045,Orquideas cortadas secas,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1050,1050,Follaje cortado fresco,facturacion_electronica.cpbs.seg_10
facturacion_electronica.cpbs.fam_1110,1110,"Minerales, minerales metalicos y metales",facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1111,1111,Tierra y piedra,facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1112,1112,Productos no comestibles de planta y silvicultura,facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1113,1113,Productos animales no comestibles,facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1114,1114,Chatarra y materiales de desecho,facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1115,1115,"Fibra, hilos e hilados",facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1116,1116,Tejidos y materiales de cuero,facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1117,1117,Aleaciones,facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1118,1118,oxido metalico,facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1119,1119,Desechos metalicos y chatarra,facturacion_electronica.cpbs.seg_11
facturacion_electronica.cpbs.fam_1213,1213,Materiales explosivos,facturacion_electronica.cpbs.seg_12
facturacion_electronica.cpbs.fam_1214,1214,Elementos y gases,facturacion_electronica.cpbs.seg_12
facturacion_electronica.cpbs.fam_1216,1216,Aditivos,facturacion_electronica.cpbs.seg_12
facturacion_electronica.cpbs.fam_1217,1217,Colorantes,facturacion_electronica.cpbs.seg_12
facturacion_electronica.cpbs.fam_1218,1218,Ceras y aceites,facturacion_electronica.cpbs.seg_12
facturacion_electronica.cpbs.fam_1219,1219,Solventes,facturacion_electronica.cpbs.seg_12
facturacion_electronica.cpbs.fam_1235,1235,Compuestos y mezclas,facturacion_electronica.cpbs.seg_12
facturacion_electronica.cpbs.fam_1310,1310,Caucho y elastomeros,facturacion_electronica.cpbs.seg_13
facturacion_electronica.cpbs.fam_1311,1311,Resinas y colofonias y otros materiales derivados de resina,facturacion_electronica.cpbs.seg_13
facturacion_electronica.cpbs.fam_1400,1400,Materiales y Productos de Papel,facturacion_electronica.cpbs.seg_14
facturacion_electronica.cpbs.fam_1410,1410,Materiales de papel,facturacion_electronica.cpbs.seg_14
facturacion_electronica.cpbs.fam_1411,1411,Productos de papel,facturacion_electronica.cpbs.seg_14
facturacion_electronica.cpbs.fam_1412,1412,Papel para uso industrial,facturacion_electronica.cpbs.seg_14
facturacion_electronica.cpbs.fam_1510,1510,Combustibles,facturacion_electronica.cpbs.seg_15
facturacion_electronica.cpbs.fam_1511,1511,Combustibles gaseosos y aditivos,facturacion_electronica.cpbs.seg_15
facturacion_electronica.cpbs.fam_1512,1512,"Lubricantes, aceites, grasas y anticorrosivos",facturacion_electronica.cpbs.seg_15
facturacion_electronica.cpbs.fam_1513,1513,Combustible para reactores nucleares,facturacion_electronica.cpbs.seg_15
facturacion_electronica.cpbs.fam_2010,2010,Maquinaria y equipo de mineria y explotacion de canteras,facturacion_electronica.cpbs.seg_20
facturacion_electronica.cpbs.fam_2011,2011,Equipo de perforacion y explotacion de pozos,facturacion_electronica.cpbs.seg_20
facturacion_electronica.cpbs.fam_2012,2012,Equipo para perforacion y exploracion de petroleo y gas,facturacion_electronica.cpbs.seg_20
facturacion_electronica.cpbs.fam_2013,2013,Materiales para perforacion y operaciones de petroleo y gas,facturacion_electronica.cpbs.seg_20
facturacion_electronica.cpbs.fam_2014,2014,Equipo de produccion y operacion de petroleo y gas,facturacion_electronica.cpbs.seg_20
facturacion_electronica.cpbs.fam_2110,2110,"Maquinaria y equipo para agricultura, silvicultura y paisajismo",facturacion_electronica.cpbs.seg_21
facturacion_electronica.cpbs.fam_2111,2111,Equipo de pesca y acuicultura,facturacion_electronica.cpbs.seg_21
facturacion_electronica.cpbs.fam_2210,2210,Maquinaria y equipo pesado de construccion,facturacion_electronica.cpbs.seg_22
facturacion_electronica.cpbs.fam_2310,2310,Maquinaria para el procesamiento de materias primas,facturacion_electronica.cpbs.seg_23
facturacion_electronica.cpbs.fam_2311,2311,Maquinaria para el procesamiento de petroleo,facturacion_electronica.cpbs.seg_23
facturacion_electronica.cpbs.fam_2312,2312,Maquinaria y accesorios de textiles y tejidos,facturacion_electronica.cpbs.seg_23
facturacion_electronica.cpbs.fam_2313,2313,Maquinaria y equipos lapidarios,facturacion_electronica.cpbs.seg_23
