id,measure,system,name,code,comment
facturacion_electronica.um,Longitud,Metrico,um,um,Micrometro: 10-6 m
facturacion_electronica.mm,Longitud,Metrico,mm,mm,Milimetro: 10-3 m
facturacion_electronica.cm,Longitud,Metrico,cm,cm,Centimetro: 10-2 m
facturacion_electronica.dm,Longitud,Metrico,dm,dm,Decimetro: 10-1 m
facturacion_electronica.m,Longitud,Metrico,m,m,Metro
facturacion_electronica.dam,Longitud,Metrico,dam,dam,Decametro: 10 m
facturacion_electronica.hm,Longitud,Metrico,hm,hm,Hectometro: 100 m
facturacion_electronica.km,Longitud,Metrico,km,km,Kilometro: 1000 m
facturacion_electronica.mi,Longitud,Otros,mi,mi,Milla internacional: 1609.3 m
facturacion_electronica.nmi,Longitud,Otros,nmi,nmi,Milla nautica: 1.852 m
facturacion_electronica.in,Longitud,Otros,in,in,Pulgada: 2.54 cm
facturacion_electronica.ft,Longitud,Otros,ft,ft,"Pie: 12 in, o 30.48 cm"
facturacion_electronica.yd,Longitud,Otros,yd,yd,"Yarda: 3 ft, o 91.44cm"
facturacion_electronica.mm2,area,Metrico,mm2,mm2,Milimetro cuadrado
facturacion_electronica.cm2,area,Metrico,cm2,cm2,Centimetro cuadrado
facturacion_electronica.dm2,area,Metrico,dm2,dm2,Decimetro cuadrado
facturacion_electronica.m2,area,Metrico,m2,m2,Metro cuadrado
facturacion_electronica.ha,area,Metrico,ha,ha,Hectarea: 1000. Sinonimo: hectometro cuadrado
facturacion_electronica.km2,area,Metrico,km2,km2,Kilometro cuadrado
facturacion_electronica.acre,area,Brit,acre,acre,Acre: 4046.87260987 m2
facturacion_electronica.mi2,area,Brit,mi2,mi2,Milla cuadrada
facturacion_electronica.Ping,area,Brit,Ping,Ping,Unidad de area equivalente a 3.3 metros cuadrados.
facturacion_electronica.in2,area,Brit,in2,in2,Pulgada cuadrada
facturacion_electronica.Ft2,area,Brit,ft2,Ft2,Pie cuadrado
facturacion_electronica.yd2,area,Brit,yd2,yd2,Yarda cuadrada
