name,default_code,list_price,categ_id,type,sale_ok,purchase_ok,description_sale
Inversor Monofásico-H1.3.0-p/Baterías de alta tensión-IP65-Compatible con monitorización,Single Phase - H1.-3.0 - HV batt,600.0,Inversores,consu,True,True,Single Phase - H1.-3.0 - HV batteries - IP65 - Monitoring capable
Inversor Monofásico-H1.3.7-p/Baterías de alta tensión-IP65-Compatible con monitorización,Single Phase - H1.-3.7  - HV bat,610.0,Inversores,consu,True,True,Single Phase - H1.-3.7  - HV batteries - IP65 - Monitoring capable
Inversor Monofásico-H1.4.6-p/Baterías de alta tensión-IP65-Compatible con monitorización,Single Phase - H1.-4.6  - HV bat,623.0,Inversores,consu,True,True,Single Phase - H1.-4.6  - HV batteries -  IP65 - Monitoring capable
Inversor Monofásico-H1.5.0-p/Baterías de alta tensión-IP65-Compatible con monitorización,Single Phase - H1.-5.0  - HV bat,638.0,Inversores,consu,True,True,Single Phase - H1.-5.0  - HV batteries - IP65 - Monitoring capable
Inversor Monofásico-H1.6.0-p/Baterías de alta tensión-IP65-Compatible con monitorización,Single Phase - H1.-6.0  - HV bat,653.0,Inversores,consu,True,True,Single Phase - H1.-6.0  - HV batteries - IP65 - Monitoring capable
Inversor Monofásico-KH7-p/Baterías de alta tensión-IP65-Con capacidad de monitorización,Single Phase - KH7  - HV batteri,850.0,Inversores,consu,True,True,Single Phase - KH7  - HV batteries - IP65 - Monitoring capable
Inversor Monofásico-KH8-p/Baterías de alta tensión-IP65-Con capacidad de monitorización,Single Phase - KH8  - HV batteri,870.0,Inversores,consu,True,True,Single Phase - KH8  - HV batteries - IP65 - Monitoring capable
Inversor Monofásico-KH9-p/Baterías de alta tensión-IP65-Con capacidad de monitorización,Single Phase - KH9  - HV batteri,890.0,Inversores,consu,True,True,Single Phase - KH9  - HV batteries - IP65 - Monitoring capable
Inversor Monofásico-KH10-p/Baterías de alta tensión-IP65-Con capacidad de monitorización,Single Phase - KH10  - HV batter,920.0,Inversores,consu,True,True,Single Phase - KH10  - HV batteries - IP65 - Monitoring capable
"Inversor Trifásico - H3 Pro 11,5 kW  Tensión de salida 220 V (para Latinoamérica) - p/Baterías de alta tensión",Three Phase - H3 Pro 11.5kW  Out,1600.0,Inversores,consu,True,True,"Three Phase - H3 Pro 11.5kW  Output voltage 220V (for Colombia, CA and Latam) - HV batteries"
"Inversor Trifásico - H3 Pro 17,3 kW  Tensión de salida 220 V (para Latinoamérica) - p/Baterías de alta tensión",Three Phase - H3 Pro 17.3kW  Out,2120.0,Inversores,consu,True,True,"Three Phase - H3 Pro 17.3kW  Output voltage 220V (for Colombia, CA and Latam) - HV batteries"
